id,mentions_luxury,amenity_count,sentiment_score,neighborhood_vibe,cleanliness_mentioned
20091785,False,4,0.75,unknown,True
3710661,False,4,0.84,bustling_urban,False
15055244,True,4,0.79,trendy,True
19640913,False,3,0.8,quiet_residential,True
11888948,True,1,0.98,upscale,True
11769831,False,1,0.88,artsy,False
7803475,False,8,0.9,family_friendly,False
13935360,False,3,0.93,family_friendly,False
17045788,False,1,0.88,unknown,False
21274450,False,5,0.81,upscale,False
21868427,False,3,0.77,artsy,True
18721209,False,7,0.99,unknown,True
14625676,False,3,0.85,unknown,True
11867213,True,4,0.72,family_friendly,False
406926,False,13,0.7,trendy,False
7254023,False,6,0.74,trendy,True
4692541,False,7,0.94,artsy,False
20212025,False,2,0.87,artsy,False
19309321,True,4,0.93,quiet_residential,False
12110777,False,6,0.67,bustling_urban,False
21414167,False,4,0.91,bustling_urban,False
20941726,False,6,0.87,quiet_residential,True
21865904,False,1,0.78,unknown,False
21379194,False,2,0.47,trendy,True
18525012,False,8,0.83,bustling_urban,False
7708148,True,2,0.64,family_friendly,False
9986869,False,7,0.74,trendy,False
20296910,False,3,0.93,artsy,False
14550985,False,6,0.91,family_friendly,True
7484548,False,1,0.89,artsy,True
14472438,False,3,0.77,bustling_urban,True
6964112,False,2,0.87,artsy,False
4417147,True,1,0.7,artsy,False
22923308,True,6,0.92,bustling_urban,True
22247944,False,7,0.89,trendy,False
17445068,False,7,0.79,artsy,True
10674836,False,3,0.93,trendy,False
20363156,False,3,0.62,family_friendly,False
17073870,False,3,0.92,unknown,True
12710904,False,1,0.92,upscale,False
20968000,True,5,0.89,artsy,False
21407807,True,13,0.87,artsy,False
20269685,False,16,0.74,unknown,False
15915152,False,3,0.78,bustling_urban,False
3877315,False,3,0.73,artsy,False
744227,False,8,0.8,quiet_residential,True
18683699,False,8,0.7,unknown,False
6923161,False,10,0.91,artsy,True
7915525,False,5,0.81,trendy,False
1752112,False,5,0.92,quiet_residential,False
339142,False,5,0.83,upscale,False
8942272,False,2,0.83,artsy,False
3677309,False,1,0.95,family_friendly,True
4338177,False,5,0.99,trendy,True
7707274,False,3,0.85,artsy,False
15661467,True,2,0.91,unknown,False
5148878,True,7,0.87,family_friendly,False
1646398,False,1,0.72,unknown,False
3216134,True,2,0.93,quiet_residential,False
9827941,False,3,0.81,unknown,False
14067812,True,1,0.96,artsy,False
13129021,False,11,0.76,artsy,False
629105,True,6,0.79,upscale,True
19326745,False,4,0.82,bustling_urban,True
467569,False,5,0.82,unknown,False
19004305,False,1,0.71,upscale,False
16453520,False,4,0.8,trendy,False
9403626,False,7,0.73,upscale,False
7692660,False,5,0.69,unknown,True
11861349,True,12,0.89,artsy,False
15645988,True,6,0.95,bustling_urban,False
5525206,True,4,0.59,family_friendly,False
13769692,False,5,0.95,upscale,False
5115372,False,3,0.83,family_friendly,True
3908018,False,5,0.76,artsy,True
9488285,False,1,0.93,artsy,False
3556615,False,6,0.87,bustling_urban,True
19103622,False,4,0.71,trendy,False
4053095,False,4,0.81,family_friendly,False
19565362,False,2,0.94,quiet_residential,True
13698359,False,1,0.73,artsy,False
11553765,True,1,0.93,bustling_urban,False
10342806,True,5,0.69,quiet_residential,False
17242174,False,1,0.99,quiet_residential,True
21818003,True,3,0.95,artsy,False
7094619,True,7,0.88,unknown,True
19141662,False,3,0.74,quiet_residential,True
20420311,False,7,0.82,artsy,False
15455457,True,1,0.62,trendy,False
22007011,False,8,0.74,artsy,False
14982260,False,3,0.89,family_friendly,False
10423038,False,7,0.47,artsy,False
10149393,False,9,0.88,artsy,False
13170777,False,1,0.73,trendy,False
296361,True,1,0.94,unknown,False
6316666,False,1,0.62,family_friendly,False
794281,False,4,0.86,trendy,False
13347857,False,6,0.86,trendy,False
4322619,False,2,0.8,family_friendly,True
2472461,False,8,0.63,trendy,True
9436038,False,9,0.97,bustling_urban,False
19622803,False,5,0.75,artsy,True
2591213,True,7,0.83,artsy,False
888905,False,4,0.46,bustling_urban,False
21104699,False,3,0.71,quiet_residential,False
14091664,False,9,0.93,bustling_urban,False
2067688,False,4,0.9,quiet_residential,False
3312417,False,5,0.99,artsy,False
15178955,False,1,0.93,artsy,True
9710620,False,4,0.7,artsy,False
31555,False,4,0.85,trendy,False
992891,False,2,0.84,trendy,True
6836485,False,8,0.86,quiet_residential,True
16565435,False,3,0.69,quiet_residential,False
1031302,False,4,0.99,trendy,False
13265512,False,1,0.77,unknown,False
7206579,False,5,0.83,trendy,False
9902314,False,5,0.83,trendy,False
5029204,False,4,0.75,trendy,True
1515611,False,10,0.85,trendy,True
20091485,True,3,0.94,trendy,False
9029469,False,1,0.88,artsy,False
19050052,True,9,0.99,unknown,False
11868110,False,1,0.85,trendy,False
7323905,False,6,0.77,trendy,True
21309449,False,1,0.99,unknown,False
20550251,False,5,0.82,bustling_urban,False
17989780,False,2,0.87,trendy,False
4491261,False,6,0.89,artsy,True
901809,False,2,0.99,trendy,False
14076995,False,6,0.92,bustling_urban,True
3457987,True,8,0.87,artsy,False
8133995,False,6,0.87,bustling_urban,False
20120907,False,5,0.92,family_friendly,False
22017362,False,3,0.77,family_friendly,False
281521,False,10,0.99,trendy,True
15975039,False,5,0.83,trendy,False
15006441,False,7,0.85,trendy,False
13427412,True,6,0.85,unknown,False
18607944,False,7,0.69,quiet_residential,False
18638985,False,4,0.8,trendy,False
5261913,False,5,0.65,bustling_urban,False
21027182,False,3,0.9,bustling_urban,False
1182187,False,3,0.73,trendy,False
21693732,True,13,0.99,unknown,False
13745149,False,3,0.84,trendy,False
2487851,False,6,0.75,trendy,True
22129906,False,2,0.65,artsy,False
1427518,False,14,0.88,trendy,False
17123684,False,5,0.94,bustling_urban,False
15641528,False,3,0.82,unknown,True
4865377,False,2,0.93,artsy,True
460036,True,1,0.66,artsy,False
21499536,False,10,0.97,family_friendly,False
20679755,False,4,0.86,upscale,False
21663040,True,6,0.87,trendy,False
19520991,False,4,0.81,bustling_urban,True
7956593,False,4,0.68,family_friendly,False
13379511,True,3,0.93,trendy,False
19274358,True,6,0.71,bustling_urban,False
466402,False,4,0.99,trendy,False
10135702,False,9,0.85,trendy,False
20456324,False,4,0.77,artsy,True
4487846,False,2,0.86,artsy,False
8974316,False,5,0.93,artsy,True
13245420,False,2,0.67,trendy,False
16163323,False,3,0.78,quiet_residential,False
162508,False,6,0.92,family_friendly,False
11669908,True,16,0.81,quiet_residential,False
21868345,False,4,0.8,family_friendly,False
22343914,False,5,0.91,unknown,False
22230932,False,3,0.81,trendy,False
21630372,False,2,0.97,family_friendly,False
4734709,False,5,0.76,trendy,True
21209932,False,4,0.96,trendy,False
9175286,False,7,0.96,upscale,True
11904345,False,3,0.72,artsy,False
10088464,False,4,0.81,trendy,False
5406067,False,7,0.98,unknown,False
5491803,False,2,0.93,artsy,True
14801621,False,1,0.89,trendy,False
13623880,False,1,0.72,family_friendly,False
11714323,True,1,0.86,trendy,False
459066,False,5,0.79,upscale,True
14992784,False,4,0.75,unknown,False
592831,False,5,0.99,artsy,True
11605693,False,5,0.58,unknown,False
17751871,True,3,0.94,bustling_urban,True
11254989,False,3,0.87,trendy,True
3251901,False,11,0.83,artsy,False
9737153,True,7,0.96,trendy,True
15206909,False,1,0.83,unknown,True
2188310,False,4,0.89,trendy,True
2816854,False,6,0.75,unknown,True
828218,True,6,0.47,artsy,False
16416857,False,2,0.99,bustling_urban,True
1822436,False,2,0.87,artsy,False
5598429,False,1,0.81,family_friendly,False
4126452,False,5,0.7,upscale,False
13915472,True,7,0.8,trendy,False
21005520,False,7,0.82,artsy,False
319844,False,3,0.68,trendy,False
22486540,False,2,0.7,quiet_residential,False
3538463,True,5,0.84,artsy,False
5171804,False,6,0.83,unknown,False
16282648,False,1,0.92,artsy,False
1635088,False,8,0.62,upscale,False
1576883,False,2,0.86,artsy,False
7776105,False,4,0.62,unknown,False
7609726,True,2,0.99,artsy,False
7554458,False,4,0.82,bustling_urban,False
16107558,False,2,0.73,unknown,False
19703087,False,1,0.6,artsy,False
5920088,False,4,0.97,artsy,False
774791,False,6,0.78,bustling_urban,True
14634162,False,3,0.83,upscale,False
18407764,False,6,0.66,trendy,False
10598941,False,5,0.99,trendy,True
21056456,False,1,0.81,quiet_residential,False
14278418,False,12,0.83,trendy,False
7254986,False,2,0.75,family_friendly,False
8274440,True,7,0.97,artsy,False
2500087,False,7,0.99,bustling_urban,False
