Facility ID,facility_name,state,hospital_type,ownership,star_rating,mean_excess_ratio,mean_predicted_rate,mean_expected_rate,total_discharges,total_readmissions,n_measures,n_measures_reported,severity_proxy,overall_readmission_rate,star_rating_num
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,4,0.9783833333333334,13.538333333333334,13.788783333333333,1692.0,280.0,6,5,13.788783333333333,16.548463356973993,4.0
10005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,0.9181,13.93205,14.873025,588.0,82.0,6,3,14.873025,13.945578231292515,3.0
10006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,1.0002166666666668,13.810816666666668,13.84015,1599.0,259.0,6,4,13.84015,16.197623514696684,2.0
10007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0399,17.54126666666667,16.8509,123.0,28.0,6,2,16.8509,22.76422764227642,1.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Not Available,1.0017,13.4114,13.3883,0.0,0.0,6,0,13.3883,,
10011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,1.02746,15.902719999999999,15.53118,787.0,136.0,6,5,15.53118,17.280813214739517,2.0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,1.01734,12.83794,12.42698,240.0,48.0,6,2,12.42698,20.0,3.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,1.0397,14.675550000000001,14.286933333333332,428.0,81.0,6,2,14.286933333333332,18.925233644859812,2.0
10018,CALLAHAN EYE HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Not Available,,,,0.0,0.0,6,0,,,
10019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,1.040325,13.529475000000001,13.57845,659.0,102.0,6,3,13.57845,15.477996965098633,2.0
10021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,1.002,13.9025,13.8749,0.0,0.0,6,0,13.8749,,3.0
10022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Not Available,0.9738,12.7596,13.1025,0.0,0.0,6,0,13.1025,,
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1.0332666666666668,15.280700000000001,14.666133333333333,701.0,144.0,6,4,14.666133333333333,20.542082738944366,1.0
10024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,0.9888999999999999,15.528480000000002,15.650380000000002,809.0,140.0,6,4,15.650380000000002,17.3053152039555,2.0
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,0.9726333333333333,12.354183333333333,12.7479,956.0,100.0,6,4,12.7479,10.460251046025103,3.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,3,1.15155,16.46258333333333,14.860383333333333,1803.0,341.0,6,5,14.860383333333333,18.912922906267333,3.0
10034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Not Available,,,,0.0,0.0,6,1,,,
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,0.99414,13.24588,13.13598,930.0,150.0,6,3,13.13598,16.129032258064516,2.0
10036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,2,1.02705,15.61335,15.566374999999999,271.0,48.0,6,2,15.566374999999999,17.712177121771216,2.0
10039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,2,0.9486833333333333,12.824566666666668,13.506566666666666,3786.0,562.0,6,5,13.506566666666666,14.844162704701533,2.0
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,1,1.0389166666666667,15.032983333333334,14.755733333333334,613.0,116.0,6,4,14.755733333333334,18.92332789559543,1.0
10044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Not Available,0.9739,15.756599999999999,16.2335,0.0,0.0,6,0,16.2335,,
10045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,2,1.0033,15.680833333333332,15.626733333333334,0.0,0.0,6,1,15.626733333333334,,2.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,1.06688,15.896260000000002,14.781720000000002,696.0,159.0,6,3,14.781720000000002,22.844827586206897,2.0
10049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,3,0.94745,12.627075,12.959825,309.0,45.0,6,3,12.959825,14.563106796116504,3.0
10051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Other,Not Available,,,,0.0,0.0,6,2,,,
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Not Available,1.0169,15.3222,15.0674,0.0,0.0,6,1,15.0674,,
10055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,2,1.0901833333333333,13.746633333333333,13.265733333333335,1297.0,191.0,6,6,13.265733333333335,14.726291441788744,2.0
10056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,1.056,14.018716666666668,13.453316666666666,950.0,168.0,6,4,13.453316666666666,17.684210526315788,3.0
10058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,0.936,13.3177,14.2282,0.0,0.0,6,0,14.2282,,
10059,LAWRENCE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,1.0061,16.4814,16.3816,0.0,0.0,6,0,16.3816,,
10061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,0.9747666666666666,15.699533333333335,16.1092,124.0,15.0,6,1,16.1092,12.096774193548388,3.0
10062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,,,,0.0,0.0,6,0,,,
10065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,0.9511200000000001,13.041239999999998,13.4753,71.0,11.0,6,1,13.4753,15.492957746478872,3.0
10073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,0.9776,12.6753,12.9662,0.0,0.0,6,0,12.9662,,
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,1,1.08584,15.522,14.9839,1204.0,200.0,6,5,14.9839,16.611295681063122,1.0
10079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,1.032075,13.972025,13.677775,412.0,73.0,6,3,13.677775,17.718446601941746,3.0
10083,BALDWIN HEALTH,AL,Acute Care Hospitals,Proprietary,4,1.04566,13.46814,13.30884,742.0,117.0,6,4,13.30884,15.768194070080863,4.0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,0.96532,13.87858,14.42486,916.0,138.0,6,3,14.42486,15.065502183406112,3.0
10086,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,4,0.9480333333333334,17.093799999999998,17.9801,0.0,0.0,6,0,17.9801,,4.0
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Government - State,2,0.9916333333333333,16.432266666666667,16.544233333333334,55.0,12.0,6,1,16.544233333333334,21.818181818181817,2.0
10089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,3,1.0047,17.15973333333333,17.055733333333333,403.0,70.0,6,3,17.055733333333333,17.3697270471464,3.0
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals,Voluntary non-profit - Church,3,1.0155166666666666,13.295633333333333,12.953733333333332,615.0,119.0,6,3,12.953733333333332,19.349593495934958,3.0
10091,GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,,,,0.0,0.0,6,0,,,
10092,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,1,1.080475,17.616,16.250475,1601.0,311.0,6,4,16.250475,19.42535915053092,1.0
10095,HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,,,,0.0,0.0,6,0,,,
10097,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Not Available,1.0135,14.2264,14.0373,0.0,0.0,6,0,14.0373,,
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,0.99805,15.90165,15.87325,0.0,0.0,6,0,15.87325,,
10100,THOMAS HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,3,1.0030333333333334,13.7221,13.321733333333333,1118.0,192.0,6,5,13.321733333333333,17.173524150268335,3.0
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Not Available,1.0499,19.454099999999997,18.63515,50.0,17.0,6,1,18.63515,34.0,
10103,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Church,3,0.9833,14.024116666666666,14.3407,467.0,73.0,6,3,14.3407,15.631691648822269,3.0
10104,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,2,1.01545,13.888033333333333,13.746916666666666,1802.0,267.0,6,6,13.746916666666666,14.816870144284128,2.0
10108,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,3,1.0055333333333334,17.726566666666667,17.611700000000003,404.0,72.0,6,3,17.611700000000003,17.82178217821782,3.0
10110,BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Not Available,,,,0.0,0.0,6,1,,,
10112,WHITFIELD REGIONAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Not Available,0.98825,18.43895,18.6067,51.0,13.0,6,1,18.6067,25.49019607843137,
10113,MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,2,1.0132166666666667,14.487683333333331,14.051166666666667,1056.0,203.0,6,4,14.051166666666667,19.223484848484848,2.0
