PLAYER_NAME,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,PAINT_FGM,PAINT_FGA,MID_FGM,MID_FGA,LC3_FGM,LC3_FGA,RC3_FGM,RC3_FGA,ATB3_FGM,ATB3_FGA,FGM,FGA
A.J. Lawson,DAL,23,38,53,1,15,2,3,4,17,4,15,5,18,54,121
AJ Green,MIL,24,6,7,0,4,8,16,12,24,6,15,51,130,83,196
AJ Griffin,ATL,20,3,5,3,12,2,6,1,6,1,3,8,30,18,62
Aaron Gordon,DEN,28,328,463,19,78,11,37,7,29,13,27,20,81,398,715
Aaron Holiday,HOU,27,46,71,33,84,23,45,7,18,16,31,61,167,186,416
Aaron Nesmith,IND,24,121,186,38,86,16,30,25,60,38,86,77,187,315,635
Aaron Wiggins,OKC,25,120,181,27,54,3,16,18,45,3,8,41,73,212,377
Al Horford,BOS,38,77,102,22,45,7,14,19,44,28,61,61,153,214,419
Alec Burks,NYK,32,28,65,29,87,29,87,18,51,19,47,87,232,210,569
Aleksej Pokusevski,CHA,22,24,33,5,19,2,14,1,8,2,9,15,38,49,121
Alex Caruso,CHI,30,81,128,27,57,9,24,24,62,27,63,85,207,253,541
Alex Len,SAC,31,36,48,12,27,2,3,0,1,0,0,0,2,50,81
Alperen Sengun,HOU,21,299,450,165,343,30,78,0,1,0,1,33,107,527,980
Amen Thompson,HOU,21,192,281,31,80,8,27,0,6,2,12,6,39,239,445
Amir Coffey,LAC,27,50,67,36,68,10,33,18,43,23,56,29,82,166,349
Andre Drummond,CHI,30,225,373,40,101,2,3,0,0,0,0,0,0,267,477
Andre Jackson Jr.,MIL,22,21,31,8,19,4,4,4,12,6,18,7,16,50,100
Andrew Nembhard,IND,24,88,125,61,129,50,97,13,24,15,30,33,117,260,522
Andrew Wiggins,GSW,29,129,206,88,201,45,119,15,33,2,16,74,204,353,779
Anfernee Simons,POR,25,94,163,67,150,43,119,5,18,5,15,146,372,360,837
Anthony Black,ORL,20,60,92,10,30,8,31,7,20,13,28,17,46,115,247
Anthony Davis,LAL,31,434,576,164,379,86,221,3,17,0,1,26,89,713,1283
Anthony Edwards,MIN,22,292,423,131,304,105,299,12,32,6,20,172,475,718,1553
Anthony Gill,WAS,31,48,74,16,42,1,3,1,9,0,5,9,27,75,160
Ashton Hagans,POR,24,16,26,5,19,0,1,1,2,1,1,6,22,29,71
Ausar Thompson,DET,21,154,235,42,92,15,40,5,31,10,35,6,43,232,476
Austin Reaves,LAL,26,160,215,93,191,50,114,10,36,11,27,133,354,457,937
Ayo Dosunmu,CHI,24,169,267,46,99,26,58,20,57,37,95,62,142,360,718
Bam Adebayo,MIA,26,213,313,237,473,65,189,0,1,3,6,12,35,530,1017
Ben Sheppard,IND,22,33,50,4,17,4,6,12,34,21,49,16,73,90,229
Ben Simmons,BKN,27,38,54,5,18,0,2,0,0,0,0,0,0,43,74
Bennedict Mathurin,IND,22,125,235,56,145,35,69,6,13,5,12,69,189,296,663
Bilal Coulibaly,WAS,19,103,163,15,58,6,26,18,42,19,54,27,89,188,432
Bismack Biyombo,OKC,31,49,73,25,57,0,1,0,0,0,0,0,0,74,131
Blake Wesley,SAS,21,65,110,23,37,2,13,1,5,7,13,4,35,102,213
Bobby Portis,MIL,29,154,228,106,210,106,234,22,58,21,50,57,138,466,918
Bogdan Bogdanović,ATL,31,95,177,86,177,50,104,28,72,30,72,182,493,471,1095
Bojan Bogdanovic,NYK,35,67,114,57,115,52,118,17,45,25,55,91,234,309,681
Bol Bol,PHX,24,29,32,32,43,10,24,7,18,6,15,9,19,93,151
Bones Hyland,LAC,23,29,50,18,45,6,21,4,9,2,9,38,116,97,250
Bradley Beal,PHX,31,144,207,70,149,62,144,15,34,17,40,69,161,377,735
Brandin Podziemski,GSW,21,94,140,77,191,10,32,9,29,10,20,71,184,271,596
Brandon Boston,LAC,22,25,42,14,36,12,31,3,7,2,8,9,37,65,161
Brandon Clarke,MEM,27,11,18,18,28,3,7,1,1,0,3,0,2,33,59
Brandon Ingram,NOP,26,129,179,117,248,168,348,4,12,8,21,74,207,500,1015
Brandon Miller,CHA,21,115,183,87,219,90,188,17,47,20,47,147,395,476,1079
Brandon Williams,DAL,24,11,20,2,12,4,7,0,0,0,2,3,13,20,54
Brice Sensabaugh,UTA,20,13,22,26,55,12,26,7,20,5,14,22,81,85,218
Brook Lopez,MIL,36,164,221,42,96,12,34,7,23,17,36,124,345,366,755
Bruce Brown,TOR,27,128,177,72,182,25,59,8,22,14,43,31,98,278,581
Bruno Fernando,ATL,25,90,130,19,50,0,3,0,0,0,0,0,4,109,187
Bryce McGowens,CHA,21,50,86,10,24,7,18,3,13,14,28,17,61,101,230
Buddy Hield,PHI,31,104,170,26,61,22,51,28,63,20,44,171,461,371,850
CJ McCollum,NOP,32,82,151,105,218,58,129,11,26,20,42,208,489,484,1055
Cade Cunningham,DET,22,168,302,116,277,121,252,5,20,11,25,103,286,524,1162
Caleb Houstan,ORL,21,5,7,2,3,1,3,16,42,14,33,42,118,80,206
Caleb Martin,MIA,28,93,158,42,98,25,71,17,46,16,48,48,136,241,557
Cam Reddish,LAL,24,45,81,7,27,2,16,14,31,9,37,14,42,91,234
Cam Thomas,BKN,22,124,206,140,313,118,275,18,37,10,21,116,337,526,1189
Cam Whitmore,HOU,19,100,159,23,61,10,27,9,25,7,18,63,175,212,465
Cameron Johnson,BKN,28,83,127,33,76,22,63,29,64,26,56,83,232,276,618
Cameron Payne,PHI,29,39,85,46,87,19,42,2,12,7,24,95,230,208,480
Caris LeVert,CLE,29,145,249,65,187,27,52,14,43,8,25,86,262,345,818
Cason Wallace,OKC,20,81,110,20,57,18,41,28,61,27,62,43,111,217,442
Cedi Osman,SAS,29,74,100,18,46,6,17,11,24,14,30,61,167,184,384
Chet Holmgren,OKC,22,247,339,98,192,31,73,10,30,2,9,117,308,505,951
Chimezie Metu,DET,27,64,83,24,51,7,16,6,15,4,16,18,63,123,244
Chris Boucher,TOR,31,69,97,8,20,2,6,4,20,7,23,20,51,110,217
Chris Duarte,SAC,27,23,38,9,23,4,22,11,28,6,16,27,82,80,209
Chris Paul,GSW,39,12,14,45,85,71,159,5,22,4,15,69,168,206,463
Christian Braun,DEN,23,125,212,26,82,8,25,11,34,7,24,45,105,222,482
Christian Wood,LAL,28,64,85,19,51,5,14,5,13,4,14,26,87,123,264
Chuma Okeke,ORL,25,13,19,3,6,1,5,8,13,2,12,13,56,40,111
Clint Capela,ATL,30,295,485,57,128,1,4,0,0,0,0,0,0,353,617
Coby White,CHI,24,212,338,70,184,50,131,22,46,9,29,178,477,541,1205
Cody Martin,CHA,28,39,60,7,25,9,44,7,22,4,10,16,54,82,215
Cody Zeller,NOP,31,22,47,3,11,0,1,0,0,0,0,1,3,26,62
Colby Jones,SAC,22,10,19,14,25,2,5,1,6,0,2,1,14,28,71
Cole Anthony,ORL,24,92,150,92,195,55,143,14,35,5,23,74,214,332,760
Collin Gillespie,DEN,25,8,14,4,8,5,9,1,2,1,2,13,34,32,69
Collin Sexton,UTA,25,196,283,146,339,36,91,21,44,12,32,95,247,506,1036
Corey Kispert,WAS,25,146,192,44,100,12,22,22,58,18,50,144,370,386,792
Cory Joseph,GSW,32,3,5,4,9,3,8,1,5,4,8,8,28,23,63
Craig Porter Jr.,CLE,24,50,82,30,60,24,52,1,3,0,3,11,27,116,227
D'Angelo Russell,LAL,28,123,177,90,224,53,134,18,46,10,27,198,467,492,1075
Dalano Banton,POR,24,98,158,39,109,6,34,4,13,6,18,49,168,202,500
Dalen Terry,CHI,21,45,65,6,14,1,4,5,15,6,19,6,39,69,156
Damian Jones,CLE,29,31,39,6,11,3,8,1,3,1,3,1,8,43,72
Damian Lillard,MIL,33,189,315,59,161,73,179,5,21,6,16,209,578,541,1270
Daniel Gafford,DAL,25,298,378,44,92,6,10,0,0,0,0,0,0,348,480
Daniel Theis,LAC,32,97,140,30,66,3,16,2,11,4,8,20,51,156,292
Danilo Gallinari,MIL,35,26,34,10,24,17,39,1,3,4,7,25,83,83,190
Dante Exum,DAL,28,82,124,22,59,4,11,10,25,11,22,32,59,161,300
Danuel House Jr.,PHI,31,27,40,2,9,3,6,2,9,7,17,6,22,47,103
Dario Saric,GSW,30,65,87,33,80,9,24,5,15,1,10,68,172,181,388
Darius Garland,CLE,24,107,180,85,194,51,111,11,25,11,27,110,304,375,841
David Roddy,PHX,23,91,154,23,71,3,20,10,31,9,22,29,110,165,408
Davion Mitchell,SAC,25,50,70,22,57,17,38,14,29,7,18,36,111,146,323
Davis Bertans,CHA,31,10,19,2,3,4,12,9,28,8,19,59,152,92,233
Day'Ron Sharpe,BKN,22,144,224,20,50,0,5,0,0,1,4,3,11,168,294
De'Aaron Fox,SAC,26,175,262,249,486,82,221,25,52,10,31,179,496,720,1548
De'Andre Hunter,ATL,26,83,130,49,109,55,120,22,55,19,46,76,203,304,663
De'Anthony Melton,PHI,26,43,87,12,38,7,21,8,22,5,19,64,173,139,360
DeAndre Jordan,DEN,35,54,81,4,11,0,1,0,0,0,0,0,0,58,93
DeJon Jarreau,MEM,26,7,14,6,16,0,7,0,2,0,0,4,11,17,50
DeMar DeRozan,CHI,34,195,301,144,280,235,547,20,45,8,26,48,155,650,1354
Dean Wade,CLE,27,13,18,1,5,3,7,12,35,19,41,48,126,96,232
Deandre Ayton,POR,25,186,248,131,278,109,213,0,1,1,3,0,5,427,748
Dejounte Murray,ATL,27,179,308,164,341,128,260,35,81,24,55,142,417,672,1462
Delon Wright,MIA,32,31,55,14,47,4,18,3,7,2,11,20,49,74,187
Deni Avdija,WAS,23,246,349,57,177,15,42,13,33,18,33,57,166,406,800
Dennis Schröder,BKN,30,133,231,59,162,73,166,13,38,13,27,112,298,403,922
Dennis Smith Jr.,BKN,26,93,149,13,51,9,29,3,15,12,25,17,68,147,337
Dereck Lively II,DAL,20,197,245,23,47,1,2,0,1,0,1,0,0,221,296
Derrick Jones Jr.,DAL,27,128,188,26,60,3,8,25,75,25,73,32,91,239,495
Derrick Rose,MEM,35,32,50,16,49,13,25,3,8,4,7,8,26,76,165
Derrick White,BOS,29,101,137,72,162,18,45,17,45,27,66,152,384,387,839
Desmond Bane,MEM,26,137,200,44,115,42,100,14,28,11,27,112,304,360,774
Devin Booker,PHX,27,154,222,152,287,184,378,12,28,6,8,134,382,642,1305
Devin Vassell,SAS,23,142,199,86,163,104,248,21,49,23,41,122,354,498,1054
Devonte' Graham,SAS,29,7,11,3,8,3,6,1,7,2,5,22,70,38,107
Dillon Brooks,HOU,28,111,178,60,160,26,61,13,36,13,26,106,305,329,766
Domantas Sabonis,SAC,28,425,610,143,299,33,72,0,2,1,3,32,82,634,1068
