ticker,name,sector
AAPL,Apple,Technology
ABBV,AbbVie,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture,Technology
ADBE,Adobe,Technology
AIG,American International Group,Financials
AMD,Advanced Micro Devices,Technology
AMGN,Amgen,Health Care
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
AVGO,Broadcom,Technology
AXP,American Express,Financials
BA,Boeing,Industrials
BAC,Bank of America,Financials
BK,BNY Mellon,Financials
BLK,BlackRock,Financials
BMY,Bristol-Myers Squibb,Health Care
C,Citigroup,Financials
CAT,Caterpillar,Industrials
CHTR,Charter Communications,Communication Services
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
COF,Capital One,Financials
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CRM,Salesforce,Technology
CSCO,Cisco,Technology
CVS,CVS Health,Health Care
CVX,Chevron,Energy
DE,Deere,Industrials
DHR,Danaher,Health Care
DIS,Walt Disney,Communication Services
DUK,Duke Energy,Utilities
EMR,Emerson Electric,Industrials
F,Ford,Consumer Discretionary
FDX,FedEx,Industrials
GD,General Dynamics,Industrials
GE,GE Aerospace,Industrials
GILD,Gilead Sciences,Health Care
GM,General Motors,Consumer Discretionary
GOOG,Alphabet (Class C),Communication Services
GOOGL,Alphabet (Class A),Communication Services
GS,Goldman Sachs,Financials
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
IBM,IBM,Technology
INTC,Intel,Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase,Financials
KO,Coca-Cola,Consumer Staples
LIN,Linde,Materials
LLY,Eli Lilly,Health Care
LMT,Lockheed Martin,Industrials
LOW,Lowe's,Consumer Discretionary
MA,Mastercard,Financials
MCD,McDonald's,Consumer Discretionary
MDLZ,Mondelez,Consumer Staples
MDT,Medtronic,Health Care
MET,MetLife,Financials
META,Meta Platforms,Communication Services
MMM,3M,Industrials
MO,Altria,Consumer Staples
MRK,Merck,Health Care
MS,Morgan Stanley,Financials
MSFT,Microsoft,Technology
NEE,NextEra Energy,Utilities
NFLX,Netflix,Communication Services
NKE,Nike,Consumer Discretionary
NVDA,NVIDIA,Technology
ORCL,Oracle,Technology
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PG,Procter & Gamble,Consumer Staples
PM,Philip Morris,Consumer Staples
QCOM,Qualcomm,Technology
RTX,RTX (Raytheon),Industrials
SBUX,Starbucks,Consumer Discretionary
SCHW,Charles Schwab,Financials
SO,Southern Company,Utilities
SPG,Simon Property,Real Estate
T,AT&T,Communication Services
TGT,Target,Consumer Discretionary
TMO,Thermo Fisher,Health Care
TMUS,T-Mobile US,Communication Services
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Technology
UNH,UnitedHealth Group,Health Care
UNP,Union Pacific,Industrials
UPS,United Parcel Service,Industrials
USB,U.S. Bancorp,Financials
V,Visa,Financials
VZ,Verizon,Communication Services
WFC,Wells Fargo,Financials
WMT,Walmart,Consumer Staples
XOM,ExxonMobil,Energy
